id,full_name,gender_age,fractions,probability,grade
0,Morissa Skade,F16,72%,70%,10
1,Jasper Comfort,M14,76%,73%,9
2,Siana Pallas,F18,58%,77%,10
3,Aldous Peele,M16,86%,83%,9
4,Ethelred Easun,M14,85%,,12
5,Goldarina Championnet,F14,83%,85%,10
6,Gardie Sleeny,M14,67%,89%,11
7,Ardyth Weaben,F14,60%,74%,11
8,Tomi Curuclis,F16,71%,86%,9
9,Rickie Toffler,F18,73%,83%,11
10,Grover Knightly,M16,84%,81%,9
11,Lowe Allatt,M17,81%,76%,11
12,Aveline Sammes,F16,70%,90%,10
13,Farlie Pawellek,M14,87%,77%,10
14,Luca Scutching,M15,75%,87%,11
15,Ardys Frid,F16,83%,91%,11
16,Johnny Iveson,M17,70%,85%,10
17,Mathilda De Vere,F17,,74%,9
18,Delia Lightbourne,F14,58%,78%,9
19,Traci de Verson,F14,71%,83%,9
20,Hugh Andreou,M17,63%,80%,9
21,William Eronie,M16,73%,68%,10
22,Drake Freen,M17,84%,68%,12
23,Teena Waulker,F18,80%,87%,9
24,Jaye MacNucator,M16,72%,71%,10
25,Averill Moth,M15,72%,70%,10
26,Chanda Longmead,F18,65%,82%,11
27,Arne Gartland,M14,91%,79%,10
28,Deena Cayle,F15,71%,82%,9
29,Thorpe Lindmark,M15,68%,78%,9
30,Gunner Walentynowicz,M16,79%,81%,9
31,Baird Loughnan,M16,93%,81%,12
32,Diego Larwell,M17,81%,71%,12
33,Harmon Seydlitz,M14,82%,87%,9
34,Kevyn Lomax,F17,83%,86%,10
35,Chico Ovenell,M14,75%,90%,11
36,Romola Kettles,F18,71%,80%,10
37,Betty Hubbuck,F18,95%,79%,9
38,Harri Hendrichs,F14,83%,75%,12
39,Gusti Jermey,F17,76%,79%,11
40,Winslow Corona,M17,75%,,9
41,Terese Ricketts,F15,64%,,11
42,Nataniel Bohl,M15,77%,80%,11
43,Bethany Hesbrook,F18,65%,86%,9
44,Fernande Dockrey,F15,70%,85%,12
45,Giordano Southon,M14,64%,85%,9
46,Jerrine De Vaar,F17,88%,75%,12
47,Andreas Morsley,M14,70%,86%,11
48,Ber Ormond,M18,69%,,10
49,Gian Smallpeace,M17,74%,73%,10
50,Drona Maccaddie,F16,91%,84%,12
51,Sella Swatton,F15,85%,79%,12
52,Ches Alfuso,M15,74%,80%,12
53,Rand Avison,M15,83%,,12
54,Nichols Auld,M15,,90%,11
55,Dion Dudson,M16,67%,90%,10
56,Dedra Tune,F18,75%,77%,12
57,Lowe Scamal,M15,98%,82%,10
58,Phineas Concannon,M15,83%,90%,12
59,Nertie Keast,F16,66%,81%,9
60,Arluene Danson,F17,72%,,12
61,Kelcey Cervantes,F15,77%,87%,12
62,Tana Jeal,F15,69%,69%,9
63,Eric Faber,M18,65%,70%,9
64,Eddie Lambot,M14,77%,85%,11
65,Pierrette Albro,F18,64%,84%,12
66,Karyl Brosoli,F15,68%,88%,10
67,Alexina Durham,F18,74%,82%,11
68,Florie Pleat,F16,90%,83%,9
69,Keefer Humbert,M18,81%,79%,11
70,Meryl Exposito,F15,79%,88%,12
71,Bing Son,M16,51%,80%,12
72,Kingsley Evill,M15,83%,,11
73,Scarlett Bancroft,F17,93%,74%,12
74,Franciskus Ramsell,M16,87%,77%,12
75,Whit Garrattley,M14,88%,81%,10
76,Viv Room,F18,66%,85%,9
77,Demott Boath,M16,71%,91%,11
78,Marrilee Caldecott,F16,82%,82%,9
79,Kat McCanny,F14,,90%,10
80,Melvyn Duncanson,M18,74%,,10
81,Ariadne Turville,F16,,75%,12
82,Ilka Spillman,F17,58%,88%,11
83,Rosina Dack,F18,63%,75%,12
84,Darryl Southern,F16,81%,86%,9
85,Bird Rodrig,F17,82%,84%,11
86,Gian McGauhy,M18,73%,81%,12
87,Lilia Craydon,F16,71%,82%,11
88,Gabbi Dinsell,F14,60%,77%,11
89,Ludovico Roskeilly,M15,73%,61%,12
90,Riley Vedeneev,M16,64%,67%,11
91,Levi Lifton,M14,76%,72%,9
92,Fons Lauritzen,M16,53%,84%,11
93,Ivory Deetch,F18,65%,77%,10
94,Roslyn Kimmel,F17,54%,87%,10
95,Eva Briant,F16,71%,,11
96,Velvet Reedie,F15,76%,80%,12
97,Garv Leathlay,M16,69%,81%,10
98,Margit Read,F14,84%,,9
99,Yurik Farrell,M18,68%,85%,9
