id,full_name,gender_age,fractions,probability,grade
0,Barrett Feragh,M14,76%,72%,9
1,Llewellyn Keech,M14,83%,,12
2,Llewellyn Keech,M14,83%,,12
3,Terrell Geri,M15,80%,86%,11
4,Gram Hallewell,M14,67%,78%,10
5,Stephana Boots,F18,,85%,9
6,Adrianne Bamfield,F14,91%,75%,11
7,Glynnis Eglise,F18,,74%,10
8,Ronnica Cough,F15,77%,84%,9
9,Kenyon Brisland,M18,68%,91%,12
10,Sherman Holdforth,M18,79%,69%,10
11,Zeke Marson,M14,73%,69%,10
12,Alexis Selbie,F17,61%,84%,12
13,Harcourt Bratton,M14,73%,76%,10
14,Cully Sandbatch,M16,65%,88%,9
15,Stephan Dufore,M14,84%,77%,10
16,Allayne Lettley,M15,,81%,10
17,Jamima Loweth,F16,74%,90%,12
18,Basil Choulerton,M18,63%,80%,12
19,Carmine Dewitt,M17,79%,83%,9
20,Carmine Dewitt,M17,79%,83%,9
21,L;urette Preskett,F15,73%,85%,11
22,Thorvald Slograve,M18,84%,88%,11
23,Averil Petheridge,F16,78%,,10
24,Reece Haslam,M15,71%,67%,11
25,Rudolfo Welsby,M18,80%,75%,9
26,Page Vooght,F15,77%,77%,12
27,Charo Feragh,F18,79%,79%,9
28,Carmine Henriet,M18,78%,86%,9
29,Ado Hawlgarth,M16,63%,82%,10
30,Catlee Ilem,F15,51%,87%,9
31,Ursulina Robrow,F16,71%,83%,9
32,Garald Cawker,M15,73%,86%,10
33,Maxwell Dilliway,M16,71%,75%,10
34,Taite Kochel,M15,,82%,11
35,Porty Golding,M16,65%,85%,9
36,Mortie Bulmer,M15,67%,68%,9
37,Nadine Batteson,F14,71%,82%,11
38,Deloria Kerin,F15,60%,82%,11
39,Fremont MacInerney,M18,73%,92%,11
40,Lou Nelissen,M16,66%,82%,12
41,Elicia O'Meara,F17,71%,77%,12
42,Grantley Ruffey,M18,62%,78%,10
43,Lea Morigan,F18,74%,77%,10
44,Arleen Loveless,F18,81%,80%,9
45,Neille Wontner,F18,83%,91%,10
46,Augustus Caird,M14,72%,81%,9
47,Westbrook Celloni,M15,65%,82%,11
48,Granny Duligall,M15,79%,77%,9
49,Oran Reide,M18,85%,,9
50,Arleen MacAiline,F17,85%,86%,11
51,Caron Abthorpe,F14,82%,81%,10
52,Uri Birchenough,M14,71%,81%,9
53,Adelbert Pigot,M17,80%,,12
54,Vale Glanders,M14,81%,78%,12
55,Duane Gewer,M16,57%,,9
56,Carroll Cocksedge,M16,78%,84%,9
57,Mureil Doy,F15,60%,78%,9
58,Emelita Keggin,F17,71%,87%,9
59,Murielle Gartshore,F18,75%,79%,11
60,Kellen Litzmann,F17,70%,87%,11
61,Bentlee Mangeney,M17,75%,83%,10
62,Sid Vogl,M14,72%,88%,11
63,Dorella Alden,F17,77%,81%,9
64,Claudia Bever,F18,68%,,9
65,Phyllys Arnaudon,F18,62%,85%,11
66,Kevina Margrie,F17,62%,83%,11
67,Jolyn Noore,F15,70%,85%,11
68,Felizio Brittoner,M14,70%,77%,12
69,Christean Rollitt,F14,66%,84%,12
70,Sergeant Witherow,M15,69%,89%,11
71,Sharleen Broadey,F15,80%,81%,10
72,Deeann Duckworth,F16,,83%,10
73,Gerry Rangall,F15,74%,74%,12
74,Nissy Ogglebie,F14,77%,82%,12
75,Colver de Copeman,M18,85%,86%,10
76,Pammi Swaby,F14,56%,75%,11
77,Niels Lean,M17,77%,74%,9
78,Ali Ling,F17,,,12
79,Ode Evamy,M15,88%,,12
80,Claudetta Tyne,F17,79%,95%,12
81,Jennilee Megroff,F14,85%,79%,12
82,Sauveur Grouen,M15,62%,87%,9
83,Price Pallister,M14,58%,76%,12
84,Corabelle Zaniolo,F15,67%,76%,12
85,Ker Tween,M18,87%,84%,12
86,Norton Coleford,M15,80%,74%,11
87,Bonny Bartoszewicz,F16,90%,89%,12
88,Winonah Le-Good,F18,84%,84%,9
89,Lodovico Backhurst,M14,79%,88%,12
90,Bart Parres,M17,87%,77%,9
91,Jami Milam,F15,63%,76%,11
92,Merlina Aleshintsev,F16,50%,86%,11
93,Elysia Rime,F14,73%,89%,11
94,Lovell Coolican,M18,70%,84%,11
95,Halley Clunie,F14,73%,82%,12
96,Gale Mullender,F17,72%,81%,12
97,Ryun Denne,M17,74%,78%,11
98,Cazzie Potapczuk,M14,71%,78%,10
99,Verina Pasque,F18,48%,77%,10
