id,full_name,gender_age,fractions,probability,grade
0,Garwin Crust,M16,76%,78%,9
1,Orren Heater,M15,67%,94%,11
2,Chiquita Bains,F17,72%,77%,10
3,Shalom Vittet,M18,61%,85%,10
4,Lelia MacKenzie,F14,73%,79%,12
5,Blair Chiles,M18,79%,82%,10
6,Norby Coney,M18,73%,87%,9
7,Adriane Guage,F16,,79%,12
8,Wendall Drinnan,M14,74%,70%,9
9,Mariya Rings,F17,72%,87%,10
10,Rollin Tointon,M14,74%,71%,9
11,Lexy Moan,F16,,75%,11
12,Ollie Extence,F17,79%,76%,10
13,Tito Wanklyn,M16,55%,61%,12
14,Zebadiah Josefovic,M14,72%,75%,12
15,Monte Passion,M17,71%,85%,11
16,Filmore Gummow,M14,76%,83%,12
17,Zarah Borgars,F16,71%,74%,11
18,Koo Woodfield,F16,65%,79%,12
19,Llywellyn Peniello,M15,83%,75%,9
20,Timofei Drummer,M16,78%,83%,10
21,Anna-maria Zaczek,F15,76%,84%,9
22,Quent Farrow,M18,,86%,11
23,Francklyn Pherps,M16,73%,93%,9
24,Hanson Zorro,M15,79%,,11
25,Janelle Schrei,F15,89%,78%,11
26,Sheila-kathryn Bartlomiej,F18,79%,81%,9
27,Dex Best,M17,66%,77%,10
28,Rodger McCrackem,M16,68%,82%,10
29,Idelle Moggach,F18,64%,86%,10
30,Crosby Yaknov,M18,85%,80%,9
31,Kristi Hutton,F18,74%,,10
32,Ali Halvosen,M18,68%,76%,11
33,Beitris Waltering,F14,80%,85%,9
34,Arabel Vallack,F17,73%,77%,9
35,Padraig Silburn,M18,59%,88%,11
36,Kippie Tomkinson,M15,,88%,12
37,Evan Gull,M15,71%,84%,10
38,Agnola Tchaikovsky,F14,74%,76%,10
39,Friedrick Murrock,M14,75%,90%,12
40,Joaquin Yakubov,M14,66%,,10
41,Archibald Phear,M14,86%,79%,12
42,Harri Klais,F15,68%,67%,11
43,Frederique Matijasevic,F18,79%,79%,11
44,Allsun Carnew,F15,69%,73%,12
45,Gwenore Dysert,F17,70%,85%,12
46,Darline Streetfield,F15,72%,56%,9
47,Winny Rackstraw,M18,75%,82%,11
48,Judon Stroobant,M15,78%,81%,10
49,Marcelo Riddell,M16,64%,82%,12
50,Goddard Mosson,M14,,80%,12
51,Kesley Neubigging,F16,68%,73%,12
52,Osborne Hurich,M17,65%,77%,9
53,Sara-ann Wraighte,F15,70%,81%,11
54,Jorey O Sullivan,F14,66%,86%,11
55,Laure Currier,F17,62%,74%,12
56,Lydia Lieber,F14,70%,81%,12
57,Artair Earland,M18,62%,84%,10
58,Adelbert Drane,M15,67%,83%,12
59,Arv Laphorn,M18,76%,,12
60,Alidia Narrie,F18,91%,73%,11
61,Sherwin De La Hay,M15,74%,83%,11
62,Wenda Warmington,F18,81%,89%,12
63,Errol Le Friec,M16,70%,80%,12
64,Rufus Bleasdille,M14,75%,59%,11
65,Jeddy Jelf,M16,73%,83%,12
66,Eustace Dawdary,M15,79%,81%,10
67,Ches Elkins,M17,63%,93%,10
68,Valene Brolly,F15,59%,89%,12
69,Zsa zsa Drayson,F17,77%,81%,9
70,Ephrayim Clapson,M18,83%,70%,9
71,Benoite Bourton,F14,78%,80%,10
72,Frannie Porker,F14,75%,85%,11
73,Aldridge Chesnut,M18,62%,,11
74,Tova Whyberd,F17,72%,78%,10
75,Willow Ordish,F18,69%,84%,10
76,Elmo Lievesley,M16,63%,86%,11
77,Wendall Widd,M16,74%,,12
78,Larissa MacKaig,F14,75%,73%,10
79,Keir Kirkhouse,M17,73%,66%,11
80,Liza Crichten,F15,82%,83%,9
81,Cherilyn Jobb,F18,86%,77%,11
82,Der Kauffman,M18,91%,81%,11
83,Antons Chander,M18,82%,83%,12
84,Pembroke Patinkin,M14,71%,89%,10
85,Giustina Coyett,F15,68%,73%,12
86,Tamra Boustred,F16,72%,,9
87,Cleon Puve,M15,81%,,11
88,Sarena Loseby,F16,69%,79%,10
89,Colby Elford,M15,68%,,9
90,Vassili Lankford,M18,73%,83%,12
91,Koren Gile,F17,81%,75%,9
92,Merwin Scneider,M17,71%,84%,10
93,Stormy Stranio,F17,62%,85%,11
94,Heinrick Annandale,M16,75%,85%,11
95,Maxi Dew,F16,77%,71%,10
96,Jewell Boas,F15,57%,90%,12
97,Lebbie Twine,F17,72%,91%,12
98,Garek Culbert,M14,64%,,11
99,Cristine Warboys,F16,74%,74%,12
