id,full_name,gender_age,fractions,probability,grade
0,Gigi Erley,F14,63%,83%,10
1,Madelaine Drees,F14,73%,83%,10
2,Nevins O'Sesnane,M16,,88%,9
3,Sonnie Yukhnev,F14,83%,74%,11
4,Boigie Kaindl,M15,81%,81%,11
5,Richmound Death,M18,91%,82%,9
6,Erma Gallo,F17,55%,79%,11
7,Lennard Dooney,M18,67%,79%,9
8,Katlin Henrie,F18,73%,83%,10
9,Loise Lackey,F15,85%,89%,9
10,Loise Lackey,F15,85%,89%,9
11,Loise Lackey,F15,85%,89%,9
12,Franzen Buey,M17,58%,70%,10
13,Malissia Kyd,F14,87%,85%,10
14,Garland Knok,F16,79%,73%,9
15,Ardelis Guilloux,F16,68%,80%,10
16,Talbert Tommasuzzi,M16,,76%,11
17,Minetta Cohen,F17,71%,91%,12
18,Lorita Carayol,F18,88%,75%,11
19,Cindelyn Grishin,F15,78%,78%,10
20,Sheri Ratcliff,F16,73%,77%,10
21,Magdalene Lilleman,F14,83%,87%,12
22,Ibby Catlin,F16,73%,90%,10
23,Garik Gerram,M17,70%,81%,10
24,Starlin Danahar,F16,76%,83%,12
25,Chuck Loffhead,M14,74%,70%,10
26,Friederike Stainton - Skinn,F17,87%,79%,12
27,Devin Sperwell,M14,82%,75%,11
28,Kasey Rowberry,F15,81%,75%,9
29,Manolo Tillerton,M17,89%,76%,10
30,Vassili Elflain,M15,76%,85%,11
31,Bjorn McLaverty,M18,56%,83%,12
32,Shannan Lievesley,M18,77%,79%,12
33,Pamela Powdrill,F16,,88%,11
34,Kaila Cantrell,F17,,,12
35,Eldredge Fawthorpe,M15,74%,84%,9
36,Joyous Langforth,F16,80%,79%,11
37,Ange Siveter,M18,82%,85%,12
38,Henri Nizard,M18,68%,93%,12
39,Hatti Olczak,F15,,79%,9
40,Abbe Tallowin,F17,78%,79%,10
41,Arvy Picott,M17,81%,80%,11
42,Noni Scalia,F15,72%,,9
43,Flossie Coulthard,F17,70%,84%,9
44,Falkner Dragonette,M14,77%,79%,12
45,Andy Foley,M14,79%,83%,11
46,Lewiss Tomlins,M15,72%,86%,11
47,Shoshana Littrell,F16,74%,,12
48,Sheelah Coleiro,F15,70%,86%,11
49,Bobbette Firebrace,F16,86%,88%,11
50,Hastie Dies,M15,74%,,11
51,Lee Stolberger,F17,91%,87%,12
52,Eddy Wreak,F18,89%,81%,10
53,Tris Leel,M18,63%,83%,10
54,Kyla Morsom,F16,70%,72%,10
55,Byram Nawton,M17,76%,,10
56,Lawrence Olander,M15,69%,77%,9
57,Sib Clotworthy,F15,64%,,12
58,Yevette Duncanson,F16,87%,80%,12
59,Clyde Shrubb,M15,73%,81%,11
60,Putnem Vedenichev,M16,,80%,9
61,Meade Scutter,M14,69%,83%,11
62,Timmie O'Siaghail,F14,60%,77%,10
63,Christiana Mechan,F18,,86%,12
64,Teodoro Verne,M17,57%,82%,11
65,Townie Attenbarrow,M14,67%,75%,11
66,Jacynth Tranmer,F14,,80%,12
67,Ugo Staniland,M17,80%,82%,11
68,Tyne Tilson,F17,76%,88%,9
69,Zorah Mazzei,F17,67%,84%,9
70,Elyssa Pourvoieur,F17,72%,84%,11
71,Vassily Andino,M14,78%,83%,9
72,Hugibert Copplestone,M18,77%,85%,9
73,Annelise O'Currane,F18,74%,81%,12
74,Connie de Clerk,M16,71%,81%,10
75,Lishe Beresfore,F18,75%,72%,10
76,Lina Dufall,F14,78%,74%,11
77,Jere Hawton,M16,82%,83%,9
78,Westleigh Gower,M18,78%,87%,11
79,Legra Alstead,F17,74%,78%,12
80,Rosemonde Heinrici,F16,67%,80%,12
81,Stanly Nolli,M17,74%,82%,9
82,Misti Ayre,F16,82%,84%,10
83,Idaline Uridge,F18,73%,82%,9
84,Lock Krystek,M17,79%,90%,12
85,Rollo Butterwick,M17,81%,90%,9
86,Erminie Abad,F15,,88%,10
87,Obadiah Gunbie,M15,75%,81%,12
88,Prentice Wanstall,M16,76%,83%,11
89,Stephannie Lill,F18,89%,82%,12
90,Morris Brannan,M18,70%,86%,12
91,Annabell Stoddard,F16,72%,76%,11
92,Anna-diana Marlon,F16,,84%,11
93,Schuyler Dairton,M14,70%,86%,9
94,Wash Copestick,M16,82%,81%,10
95,Arel Sissot,M15,70%,,9
96,Ardath Castleton,F16,75%,81%,10
97,Gregor Shingfield,M18,80%,78%,11
98,Anette Snawden,F17,79%,83%,11
99,Thurston Braiden,M14,,86%,9
