id,full_name,gender_age,fractions,probability,grade
0,Andros Magnus,M14,73%,85%,11
1,Micheline Trent,F14,64%,81%,9
2,Denna Mackrill,F16,78%,70%,10
3,Maegan Ebbrell,F18,75%,77%,11
4,Nikki Dashper,M17,67%,81%,11
5,Miran McDermott-Row,F17,63%,77%,12
6,Rick Druhan,M17,79%,73%,10
7,Doy Hatz,M17,77%,,9
8,Dina Jauncey,F15,83%,82%,11
9,Karyn Craft,F18,78%,88%,12
10,Olin Tarply,M15,75%,88%,12
11,Hatti Prisk,F15,,,11
12,Darnall Ostler,M15,92%,84%,10
13,Noam Gudgin,M18,60%,91%,9
14,Godart Goodbarne,M18,81%,78%,12
15,Sibyl Earles,M15,,74%,11
16,Michal Causier,M14,68%,86%,9
17,Ingrim Bottrell,M18,84%,93%,10
18,Isidora Brave,F18,66%,79%,11
19,Edythe Verdun,F18,,80%,12
20,Angelico Ferrulli,M15,70%,72%,9
21,Crawford Howsin,M16,84%,75%,11
22,Deanna Daviot,F17,77%,77%,12
23,Denyse Cuthbert,F14,66%,86%,12
24,Florencia Fairhurst,F17,76%,81%,12
25,Codi Cutridge,F18,81%,81%,9
26,Patty McDermid,F14,80%,79%,9
27,Elianora Medwell,F17,,74%,11
28,Neill Reightley,M16,70%,74%,12
29,Viviana Dadds,F17,85%,75%,12
30,Kaye Sterte,F17,66%,81%,9
31,Pascale Wathey,M18,79%,77%,9
32,Illa Camacho,F15,82%,90%,9
33,Johny Prys,M14,59%,84%,11
34,Barris Lemarie,M18,67%,74%,10
35,Federico Sevin,M15,78%,83%,12
36,Gardener Hussy,M14,75%,88%,12
37,Joshua Rosenhaus,M15,73%,75%,10
38,Koressa O'Cannavan,F16,79%,79%,12
39,Boonie Marfield,M14,63%,81%,9
40,Tony Danahar,M15,79%,74%,11
41,Tommi Cardenoza,F15,78%,,12
42,Vere Firebrace,F17,83%,76%,12
43,Evania Espinha,F14,88%,80%,9
44,Danette Pancoust,F15,97%,89%,12
45,Scarface Pevie,M17,56%,84%,11
46,Bobine Tordiffe,F14,72%,78%,9
47,Elberta Newsham,F16,,86%,9
48,Mercy Kinnoch,F14,76%,83%,12
49,Kylie Oldnall,M15,68%,72%,10
50,Jamaal Braidford,M15,54%,90%,12
51,Gaile McKnish,M16,76%,79%,9
52,Caralie Few,F17,89%,73%,11
53,Hedvig MacKnight,F14,,75%,10
54,Harrietta Audus,F14,74%,72%,11
55,Therine Bartkiewicz,F18,79%,80%,11
56,Sophi Balchin,F15,67%,89%,10
57,Westbrooke Boch,M16,90%,91%,11
58,Averill Hobbema,M17,78%,76%,10
59,Cherilynn Hawkslee,F18,76%,,9
60,Jaimie Abbie,M15,65%,74%,12
61,Boote Skuce,M14,60%,75%,10
62,Ansell Blais,M18,70%,80%,11
63,Carlos Playfair,M18,66%,82%,11
64,Karlene Plaskett,F14,65%,77%,10
65,Benedict Fotherby,M17,61%,78%,10
66,Keven Proffitt,M18,69%,73%,12
67,Murielle Hardwicke,F16,68%,78%,9
68,Jacqueline McCrie,F15,71%,72%,9
69,Ailey Calloway,F16,83%,82%,12
70,Kyle Capelow,M15,78%,80%,12
71,Antin Pandey,M14,64%,75%,12
72,Rochette McCoish,F18,81%,81%,12
73,Thorpe Danniell,M18,94%,78%,10
74,Malynda Jovicevic,F14,76%,85%,10
75,Wade Bowman,M15,86%,80%,10
76,Myer Levesley,M15,69%,86%,12
77,Dunstan Starking,M14,67%,86%,9
78,Joey Staddon,F15,70%,91%,12
79,Giffard Seid,M18,79%,79%,11
80,Kit Ventura,F17,74%,72%,9
81,Ellwood Schrir,M14,67%,79%,10
82,Aubrette MacTerlagh,F18,69%,88%,9
83,Cassaundra Goodbur,F14,70%,87%,11
84,Fletcher Rallinshaw,M15,80%,83%,11
85,De witt Zima,M15,81%,76%,10
86,Elfreda Wolvey,F16,69%,77%,12
87,Heidie Rodger,F14,67%,82%,12
88,Hillard Santos,M18,94%,90%,12
89,Roxanna Hartland,F14,74%,77%,10
90,Dorella Purves,F16,73%,66%,11
91,Ned Mullan,M15,77%,79%,10
92,Bertha Flancinbaum,F17,74%,76%,9
93,Ewen Salasar,M16,66%,79%,12
94,Nerti Bish,F14,59%,91%,11
95,Wilie Stillert,F14,72%,69%,9
96,Gertie Flicker,F15,,86%,11
97,Yettie Labes,F14,81%,82%,12
98,Lock McGuinley,M18,,84%,10
99,Bebe Lebbern,F15,66%,91%,12
