id,full_name,gender_age,fractions,probability,grade
0,Kizzee Kensington,F17,68%,76%,12
1,Garret Hartfleet,M17,68%,90%,12
2,Ingrid Meatyard,F18,65%,,12
3,Verney Sainsberry,M18,85%,76%,9
4,Lonni Bruhnicke,F16,71%,81%,9
5,Isa Staynes,M16,57%,87%,12
6,Hakim Stook,M18,82%,,10
7,Lucho Scarlet,M14,69%,74%,10
8,Wain Iacapucci,M15,74%,89%,11
9,Lorinda Coldbreath,F16,64%,75%,9
10,Emmalee Harrisson,F15,65%,84%,11
11,Pavel Makey,M17,96%,91%,9
12,Cristian Korba,M18,84%,80%,10
13,Vachel Bushrod,M15,83%,85%,11
14,Taddeusz Gavozzi,M16,72%,83%,10
15,Bil McCoole,M15,,73%,11
16,Lusa Swedeland,F18,67%,77%,9
17,Leonie Pashenkov,F18,70%,94%,9
18,Bruce Crebott,M16,62%,74%,11
19,Rikki McCauley,M17,75%,80%,12
20,Pauletta Austen,F18,81%,73%,9
21,Flynn Callicott,M16,66%,90%,10
22,Francesca Crumley,F14,77%,72%,11
23,Robinette Dillon,F15,70%,88%,12
24,Wendall Fontenot,M16,84%,78%,9
25,Cyndia Couchman,F16,77%,78%,12
26,Leeann Gregs,F14,,81%,12
27,Fran Gooderidge,M15,,87%,11
28,Zechariah Tuffield,M15,70%,94%,12
29,Demetris Lougheid,M15,77%,80%,9
30,Alis Truswell,F18,94%,,9
31,Wittie Caurah,M14,89%,85%,12
32,Cherie Gerant,F15,71%,82%,12
33,Wallis Eslie,M18,78%,,10
34,Trevor Mantle,M14,75%,88%,10
35,Fawnia Windram,F14,76%,94%,12
36,Heindrick Manilo,M18,79%,86%,11
37,Nadean Klasing,F17,,83%,11
38,Twila McKerton,F15,59%,84%,10
39,Gerry Sparling,M15,70%,81%,11
40,Denyse Bisseker,F15,75%,92%,9
41,Gweneth Churching,F18,80%,75%,12
42,Solomon Grainger,M17,73%,84%,12
43,Avram Esposi,M15,,76%,12
44,Quent McAughtry,M16,77%,85%,9
45,Manya Hafner,F18,79%,73%,9
46,Mateo Limbrick,M15,79%,90%,12
47,Marcela Samart,F16,69%,95%,10
48,Morry Foxen,M14,84%,84%,11
49,Johan Tenney,M14,66%,83%,10
50,Karisa Blackstock,F17,75%,84%,9
51,Kaila Salisbury,F18,79%,84%,12
52,Manolo Abramamov,M16,90%,76%,12
53,Jennilee Bernuzzi,F17,80%,73%,12
54,Selinda Takkos,F14,75%,75%,12
55,Cesare Spores,M18,65%,78%,11
56,Jacynth Scarrott,F18,72%,95%,12
57,Ariadne Dundridge,F18,77%,77%,9
58,Brander Grombridge,M16,66%,85%,9
59,Rupert Kiehnlt,M17,,79%,10
60,Dannie Gerber,M14,80%,80%,11
61,Kendall Nattriss,M18,85%,81%,11
62,Nowell Fender,M18,78%,82%,12
63,Darbee Marqyes,M14,80%,80%,12
64,Sarina Wakelin,F14,77%,80%,12
65,Vernen Boskell,M18,62%,83%,12
66,Rodge Bernardez,M16,75%,86%,10
67,Kip Innott,F17,95%,72%,11
68,Micah Moohan,M17,,82%,11
69,Gaston Oldroyd,M17,94%,,11
70,Garnet Yarranton,F17,76%,67%,11
71,Alverta Adolthine,F16,73%,82%,11
72,Cordey Kirkebye,F16,90%,74%,11
73,Carmelita Parkhouse,F15,72%,80%,12
74,Desdemona Jefferies,F16,78%,81%,10
75,Krissy Sanchis,F17,77%,62%,12
76,Corrianne Guerra,F14,76%,86%,12
77,Dominic Forsythe,M15,90%,80%,12
78,Ber Newlyn,M16,70%,86%,12
79,Trista Ruos,F18,77%,75%,10
80,Eldin Salmon,M15,83%,78%,11
81,Case Lighterness,M15,71%,72%,10
82,Donovan Peet,M17,73%,88%,12
83,Ingamar Ughi,M18,73%,81%,11
84,Pascale Doak,M18,71%,83%,9
85,Lauretta Rivelon,F17,71%,86%,12
86,Priscilla Savatier,F15,71%,,12
87,Hayes Cutsforth,M15,93%,80%,12
88,Anestassia Gasker,F17,73%,,10
89,Christin Cross,F17,86%,82%,12
90,Rochella Canete,F18,82%,83%,9
91,Janis Cardero,F16,75%,86%,10
92,Eolande Thorneywork,F17,66%,85%,11
93,Angelita Jancar,F16,90%,83%,9
94,Luise Laterza,F18,86%,74%,12
95,Massimo Babbs,M16,84%,83%,11
96,Garrek Manuely,M14,70%,85%,9
97,Winslow Lilliman,M15,81%,83%,11
98,Grantham Yate,M15,77%,87%,10
99,Dennie Chopping,M16,81%,83%,9
